SourcePort,DestinationPort,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,DoH
51308,443,7.171,17360,2420.8618041527175,33913,4729.187002547875,294910.36871287116,543.0565060036305,507.6534653465348,507.6534653465348,385.77777777777777,0.0,0.0,1.0697385974344904,104913.03626262631,323.9028191643696,71.71000000000006,71.71000000000006,162.20454545454552,0.0,0.0,4.516843106398723,188346.36902356904,433.9889042631955,0.13023636363636368,0.13023636363636368,0.13023636363636368,0.0,0.0,3.3323174276549588,True
27036,27036,1.447,217,149.96544564618836,204,140.9813406074766,84.49999999999996,9.192388155425116,210.5,210.5,217.0,0.0,0.0,0.04366930240086198,0.0,0.0,1447.0,1447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
27036,27036,0.0,238,238000000000.0,0,0.0,0.0,0.0,238.0,238.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
27036,27036,0.0,220,220000000000.0,0,0.0,0.0,0.0,220.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
27036,27036,0.0,217,217000000000.0,0,0.0,0.0,0.0,217.0,217.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
27036,27036,0.062,209,3370.9676875650375,217,3499.9999435483883,32.00000000000001,5.656854249492381,213.0,213.0,209.0,0.0,0.0,0.026558001171201048,0.0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
53525,443,8.846,71771,8113.384579684221,332385,37574.609988969634,417351.1983834205,646.0272427563875,692.0479452054793,692.0479452054793,295.35390946502054,0.0,0.0,0.9335007021278546,12765.689866963736,112.98535244430464,15.173241852487136,15.173241852487136,36.55371900826447,0.0,0.0,7.446355468085957,22535.847605413852,150.11944446144827,0.025955882352941176,0.025955882352941176,0.025955882352941176,0.0,0.0,5.783638653249402,True
52198,443,0.263,178,676.8060810767829,180,684.4106437855107,1681.0,41.0,89.5,89.5,89.0,0.0,0.0,0.45810055865409943,11240.333333333334,106.02043828117922,87.66666666666667,87.66666666666667,263.0,0.0,0.0,1.2093586115585915,0.0,0.0,0.208,0.208,0.208,0.0,0.0,0.0,True
64508,443,0.0,54,54000000000.0,0,0.0,0.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
27036,27036,0.217,217,999.999995391705,216,995.3917004820659,0.5000000000000001,0.7071067811865476,216.5,216.5,217.0,0.0,0.0,0.00326608213017682,0.0,0.0,217.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
